table,id,word,part_of_speech,english_translation,word_length,difficulty_level
"dictionary_ai","5c656627-a552-4c6e-ac03-96a6fccb4440","Íṣẹ-aṣẹ, miracle","pronoun","they","16","advanced"
"dictionary_ai","d6285e1c-ea63-440b-bef5-09de3968ae80","Ajifa","n.","one who trusts in Providence.","5","intermediate"
"dictionary_ai","ca50a93c-0bd0-49e1-996d-5ada6a0565d1","Akọ́ni (-lẹ́kọ̀)","n.","a teacher; instructor; tutor.","16","advanced"
"dictionary_ai","36e51234-8c13-4e80-8a30-9c6e531a94c3","Akọnì","n.","a brave, bold, strong person.","5","intermediate"
"dictionary_ai","0d406ce8-dea2-4613-9ffb-417c9c28345b","Akọ̀wé-iṣa-rọ-jọ","n.","the author or compiler of a dictionary.","16","advanced"
"dictionary_ai","3a1ccad2-efb1-4676-8e79-576db1735a19","Èrí","n.","chaff sifted out of ground maize or Indian corn, used as food for cattle.","3","easy"
"dictionary_ai","3e77e421-1a32-4d59-9267-8b11a3c89e52","Ẹdun","n.","twins; a name sometimes given to one or both of twins; ape; fourfingered monkey.","4","easy"
"dictionary_ai","50fdaecc-8fa4-4939-bb67-ad73d62b8e5f","Ẹdun-dudu, Ẹdun Oriokun","n.","a black and very agile monkey, generally found by the seaside, or among mangroves.","23","advanced"
"dictionary_ai","d4caec22-c5f3-418e-a941-e875200edb12","Fífọ̀","adj.","washable; that which may be washed; mode of speaking.","5","intermediate"
"dictionary_ai","e2860d63-dbae-434d-8ca1-c4947d3347ee","Fífọkànsìn","n. or adj.","devoutness; devout; pious; piety.","10","advanced"
"dictionary_ai","b19dd50f-76f4-416c-9fe8-e356f671cc8c","Fífún, Fífúnká","n. or adj.","that which is to be sown or scattered; drizzly.","14","advanced"
"dictionary_ai","82216298-957a-4d9d-bfc6-e3666d3e6097","Fifunni, Fifuni, Fifun","v.","to grant; vouchsafe; give; present; render; ascribe; attribute; tender; bestow; impart.","22","advanced"
"dictionary_ai","3f6f03f9-8baa-4f88-94c5-e3d8e484089c","Àkùfi","n.","threats.","5","intermediate"
"dictionary_ai","04520f7d-1793-4896-ba3e-260b0b078b8d","Ãlà","n.","boundary; limit; land-mark; confine; term; precinct; line of demarkation.","3","easy"
"dictionary_ai","167c4b44-cb4c-475f-ba64-c60a7bb7b690","Alabaṣe (-pọ)","n.","fellow-worker; partner; yoke-fellow; colleague.","13","advanced"
"dictionary_ai","b5b07838-4663-4075-8d41-2702977ad4c4","Aladamọ","n.","one who is lead away with a mistaken idea; a heretic.","7","advanced"
"dictionary_ai","720ed15b-81d5-472f-ba5d-b0fa47ff818d","Aládé","n.","a king; prince; the royal family consisting of several persons who rule over different Yoruba districts, viz., Ọba Yoruba, Oníkòyí, Olugbọn, Arẹsa, Aṣẹhin, Alaké, Aládó, Olowu, Àgùrá, Alaketu, Olu, Awùjalè.","5","intermediate"
"dictionary_ai","5e27ad6e-abe4-49e9-827f-7c50012fe15b","Alãfin","n.","contraction of Alawọfin, one who owns the palace, hence a king. Title of King of Ọyọ.","6","intermediate"
"dictionary_ai","9ea2c638-7226-41be-a6a7-360280268d7b","Alágada","n.","one who owns or bears the sword or scimitar.","7","advanced"
"dictionary_ai","3a72348d-6ce1-474c-9a4c-1f74fda0a3e5","Alágbára","n.","a strong able-bodied person; a mighty man; tyrant; potentate; hero.","8","advanced"
"dictionary_ai","f5dd2859-e91f-4d50-b51b-5e0a499bc9a5","Alágídí ọkan","n.","a haughty-minded fellow.","12","advanced"
"dictionary_ai","de899797-a7f8-4987-a058-f28b29d47fb1","Alaibẹru","adj.","fearless, dauntless, undismayed.","8","advanced"
"dictionary_ai","6e119f41-ead5-40a1-aedd-eb63b272a9ab","Alaidúró (-lọkan)","n.","one who is unsteady; lacking in stability; visionary.","17","advanced"
"dictionary_ai","0090011d-07e5-4c45-920d-372fd2fd911f","Alaigbàgbọ́","n.","unbeliever; incredulous person.","11","advanced"
"dictionary_ai","a7aa2cec-f71f-4254-ad04-77bfed95535a","Alaigbede","n.","one who does not understand another's language; a barbarian.","9","advanced"
"dictionary_ai","0a56f2d1-c89c-4da1-9f7b-5f07f970e450","Alaigbọran","n.","an inattentive, heedless, obstinate, disobedient or unbelieving person.","10","advanced"
"dictionary_ai","29b6f772-aef6-425d-b963-3770c14edda4","Alailãjò","n.","without anxiety, solicitude, carefulness, interest, attempt or zeal.","8","advanced"
"dictionary_ai","5dca222f-6f9f-4688-a9f8-85526f8ea187","Alailọ́kọ","n.","spinster.","9","advanced"
"dictionary_ai","61617038-d577-4b40-b602-dfbdc648c747","Alaimọ̀","n.","one who does not understand; an ignorant one.","7","advanced"
"dictionary_ai","d7b7e54c-be77-48c4-b3f7-0cbf74947120","Alaini","n.","a needy, indigent person.","6","intermediate"
"dictionary_ai","0fe8f008-8082-455b-98da-428564544fe9","Alairiṣẹ","n.","one out of employment; unemployed.","8","advanced"
"dictionary_ai","5b526365-aeff-4962-afea-380ae31e2d03","Alaiṣododo","n.","an unrighteous or unjust person.","10","advanced"
"dictionary_ai","faa5092f-1925-4245-8af0-a01bebc5c439","Alaiwọ́pọ̀","adv.","extraordinarily; rarely.","10","advanced"
"dictionary_ai","75b2d125-7a2e-4708-80bb-08f041689b3d","Alájàpá","n.","a petty trader who generally purchases at one town and sells at another with small profit; a badger.","7","advanced"
"dictionary_ai","b2140870-79aa-42a0-8958-22572e632dd4","Alákàtàmpó","n.","a cross-bow man.","10","advanced"
"dictionary_ai","4548bb9b-a2a6-4f37-8b00-bf905731ebc8","Aláletà","n.","a retailer of small articles or fruit.","7","advanced"
"dictionary_ai","0c85d392-e5c5-44e2-ad46-f5310a199c36","Àlámọ̀rí","n.","concern; secret.","8","advanced"
"dictionary_ai","a93c09c1-7ffe-445a-999b-f5f338d7eccb","Alamgbá, Alãmù","n.","a lizard.","14","advanced"
"dictionary_ai","7dd3a587-0d70-41f6-8dca-e13558744e83","Alarajẹ","n.","a purchaser for family use; one having no farm.","7","advanced"
"dictionary_ai","fad3c27c-3319-47a3-85f7-1440d8f8a9ff","Alarenà","n.","an agent employed in arranging an engagement to marriage.","7","advanced"
"dictionary_ai","ef7abbdc-d48e-4383-9576-046908bd1e71","Alarun","n.","a sick person; an invalid.","6","intermediate"
"dictionary_ai","d76b38ce-0082-43c4-ab58-8ab89e2ab005","Alásètà onjẹ","n.","a dealer in cooked provisions, one who cooks and sells food.","12","advanced"
"dictionary_ai","30fe0d6b-2dbc-4d12-a859-52f09df9ab2d","Alaṣã, Aláṣárà","n.","a dealer in snuff or tobacco.","14","advanced"
"dictionary_ai","48f76dce-b7e3-45e4-8965-e511b63ef088","Alawika","n.","wizard, sorcerer, witch, tale-bearer, busy-body.","7","advanced"
"dictionary_ai","8187ac76-bd4b-490c-b02b-2c9973fe0831","Fẹlẹ̀","v.","to be unemployed; to be vacant; unused.","5","intermediate"
"dictionary_ai","6bb3cb72-8be5-4208-a2ef-ce36b84ff36e","Fẹ̃rè","n. adj.","early in the morning. broad; wide; extensive.","5","intermediate"
"dictionary_ai","7257674d-d7a5-459c-97ef-c87c487478cd","Àkódì","n.","the act of gathering and tying up; rough sewing.","5","intermediate"
"dictionary_ai","57d98ab3-db0d-4ad2-8a21-53eb69270a4c","Bò","v.","to be full of leaves; rich in foliage.","2","easy"
"dictionary_ai","dddf7510-c382-438d-8a61-b8a7e76867e0","Bolobolo","n.","a small fly which sucks perspiration from the body; it also makes honey.","8","advanced"
"dictionary_ai","f366d5e1-139f-4de4-b518-1ae0b76f5120","Bọwale","v.","to return from abroad; to enter the house.","6","intermediate"
"dictionary_ai","1483ea31-e957-489c-a609-8aac7eb5927d","Buru-gidigidi, Burujulọ","adj.","outrageous; very bad; horribly erroneous.","23","advanced"
"dictionary_ai","0ee1f415-703f-4d80-84f8-399504ba0d70","Dàgbalágbà","v.","to become fully developed (used of persons only); to be full grown.","10","advanced"
"dictionary_ai","f9909278-7eb2-4a82-8f2c-cc7074d98c99","Dakó, Kọlà","v.","to be circumcised, or to circumcise. (Dakọ́ is to be avoided in translations and kọlà to be used instead).","10","advanced"
"dictionary_ai","4e23196b-154e-49e4-8525-5ec33b08cd55","Dárà (da-àra)","v.","cut capers; display feats of skill; make a show; follow fashion.","13","advanced"
"dictionary_ai","d8375a62-dc0f-4637-8710-d45fb5d1f301","Dayele, Diyele (da-iye-le)","v.","appraise; fix a price upon; rate; estimate the price of. (This is done by the buyer and not by the seller.)","26","advanced"
"dictionary_ai","5df95d3a-c1c9-4f5d-a203-d08b02e6c7dc","Digó","n.","an article of dress, consisting of a piece of cloth tied round the waist. v. to wear a piece of cloth around the waist as above.","4","easy"
"dictionary_ai","bfdee6b8-3a14-440e-96e4-f04f7e25e86a","Dùn","adj.","sweet; pleasant; delicious; pleasing; palatable; agreeable. (Used to express any agreeable sensation.)","3","easy"
"dictionary_ai","2bbbc88e-446a-4d3b-a241-85b921aa8b86","Ebi-npa","v.","(a phrase) to be hungry (lit.—hunger is killing).","7","advanced"
"dictionary_ai","4670c3f6-03db-478b-9541-2d4b838cdc83","Ègbé","n.","woe; damnation; perdition; loss; eternal punishment.","4","easy"
"dictionary_ai","00c6c3eb-2ba1-4079-8aab-46ae99b6bbd6","Ẽgún, Ẽgúngún","n.","a masquerader who is supposed to be a dead person returned to earth; the worship of the spirits of the dead.","13","advanced"
"dictionary_ai","8ff57c35-5225-4168-8faf-dd0fe2603227","Ẽpo","n.","chaff; husk; bark; rind; skin; peel; pod; shell.","3","easy"
"dictionary_ai","f7f85f28-528a-440a-9095-3524ed3af0f4","Ẽsìn or Èsìnsìn","n.","a creeper whose seed is covered with scales which are poisonous and cause violent itching.","15","advanced"
"dictionary_ai","5bb1c6f9-b225-4563-85a4-4e06cc0c414d","Ewe-ina","n.","a shrub with a hairy leaf, which, if touched, produces painful blisters<ctrl100> on the skin. It is one of the ingredients used for poisoning arrows, and in the preparation of poisons.","7","advanced"
"dictionary_ai","052f4fb3-7404-4e0c-b6ff-09172e175f97","Ẹgbã mẹdọgbọn ọkẹ","","one million.","17","advanced"
"dictionary_ai","5b36e765-2570-46de-bf08-352d12a0fcbe","Ẹgbọn owu","n.","carded cotton; cotton prepared for spinning.","9","advanced"
"dictionary_ai","dd6b5fcc-0bb2-49f6-b3c2-bf39ebab0558","Ẹlẹ́gbà","n.","a paralytic (lit.—one whose limbs have been seized).","7","advanced"
"dictionary_ai","23cc9d6b-27f0-4116-9f8e-d929be649320","Ẹlẹṣẹ","n.","sinner; offender; evildoer; culprit; transgressor; trespasser.","5","intermediate"
"dictionary_ai","d680a92d-1eaf-402b-9711-79173525e3c3","Ẹnà","n.","an inversion of the order of letters, syllables, words or sentences under which the sense is concealed or changed.","3","easy"
"dictionary_ai","bce02448-d862-4504-a7e9-4deaf1caefcf","Ẹtì","n.","difficulty; failure in performing one's wishes; a miscarriage; a standing still; that which impedes the flow of water.","3","easy"
"dictionary_ai","64be8f84-6737-4845-ad6f-02d679552f11","Fàrũ","v.","to revive an ancient quarrel or dispute; to be provoked, enraged, angered, irritated.—e.g., I nu mi fàrù, “I am greatly irritated.”","4","easy"
"dictionary_ai","9d2178c9-9a23-47bd-8904-791356bd970f","Figbowó","v.","to sell; exchange for money.","7","advanced"
"dictionary_ai","7afefa6f-ad55-45ae-b3cd-0401048a64b0","Fihàn","v.","to show; exhibit; reveal; discover; direct; represent; disclose; display; indicate; illuminate; expose; betray.","5","intermediate"
"dictionary_ai","a22b20b8-0912-445f-9523-76ddb3d5abfc","Fín","v.","to engrave, carve (e.g., calabashes or bowls); to fill a hole with smoke; smother; search out.","3","easy"
"dictionary_ai","02ec4ca6-95c1-45f0-8460-02fd16afd475","Fọ́","v.","to break a vessel; wreck; destroy by war; demolish; reduce to a state of confusion; dash; ache; be blind; violate.—e.g., Mo sọrọ titi ori nfọ́ mi, ""I talked until my head ached.""","3","easy"
"dictionary_ai","5c89119b-4a30-4c9e-bd78-eff71e2aa98c","Fùlùfúlù","n.","the leaves which enclose a head of Indian corn (sometimes called Epo, bark; or Aṣọ, clothes); a term usually applied to it when ripe or dry.","8","advanced"
"dictionary_ai","f057146b-2471-4693-bdc2-4b6d00040072","Gàn","v.","despise; disparage; censure; vilify; scorn; criticise; disdain; reproach; mock; backbite.—e.g., Ẹniti a ko fẹ li a igàn, “ We despise him whom we do not love.”","3","easy"
"dictionary_ai","557ee24c-8dec-455a-a735-a2f60e42652a","Gọ̀gọ","n.","horse's mane; casting of lots (a children's game played with pieces of grass, of which one is bent; the one who draws the bent one is called guilty); a hooked stick used for plucking fruit.","5","intermediate"
"dictionary_ai","16ca8524-9c18-4688-bc2f-59d1807cbbf7","Gbé-kalẹ̀","v.","to put down; to set on the ground.—e.g., Emi ko fẹ́ igbé agbọn mi kalẹ̀, “ I do not wish to put down my basket.”","9","advanced"
"dictionary_ai","021402aa-2da5-4b0a-a633-9beef5885664","Aìními","pronoun","they","6","intermediate"
"dictionary_ai","2560dafc-177c-41f1-b2cb-4f28281f5a5a","Awũju","pronoun","they","5","intermediate"
"dictionary_ai","81bc0a56-ffa9-42f9-9c78-343564e71fe8","Eké","n.","liar, falsehood; lie; falsity.","3","easy"
"dictionary_ai","9923cf18-83d3-4c49-960d-c65a5d5bcafe","Elubọ, Ọka","n.","yam-flour; dried yam.","10","advanced"
"dictionary_ai","ef0c9bd3-0c0e-46d7-8f85-585b474d27de","Didara","adj.","good; beautiful; nice. n. the condition of being good.","6","intermediate"
"dictionary_ai","a1b38752-055c-46f2-aef5-50067aa20163","Bìlà","v.","to give place to; to make way (lit.—to push an opening).","4","easy"
"dictionary_ai","b2ca7065-fc09-45da-bb2c-a6dbb858396c","Àbẹ̀tẹ́lẹ̀","noun","a bribe.","10","advanced"
"dictionary_ai","c29ab0c4-8eab-4279-9c0b-c31c25113ac4","Abinúkú-ẹni, Abinúkú-enia","noun","a spiteful man, malicious person, persecutor, calumniator.","25","advanced"
"dictionary_ai","36ab7796-e5ad-4e71-a562-7d04fcba1213","Àbọ̀","noun","a coming back, arrival, cessation, returning.","4","easy"
"dictionary_ai","32298307-9112-4783-9da4-5ae4fe88c6c6","Abọriṣa","noun","a worshipper of false gods, an idolator.","7","advanced"
"dictionary_ai","59ebd868-527b-427d-a7b0-4152f96810c9","Àbọ̀ṣẹ́","noun","work done by a person after his master's work is done; job work.","7","advanced"
"dictionary_ai","0c73f3d3-851f-41d4-856b-0ffcfd13b661","Abùtà","noun","a species of butterfly.","5","intermediate"
"dictionary_ai","02b44549-ec30-4e63-b592-47b0fbc5e8d2","Adába","noun","proposer, mover, suggester, one who attempts.","5","intermediate"
"dictionary_ai","f92fab9d-9221-4e3a-bc30-66c7572b9b84","Adaju","noun","a pitiless person; a forward person.","5","intermediate"
"dictionary_ai","4e7acb55-a09e-4577-9d8b-80e27fe95545","Àdámọ̀","noun","a mistaken view, heresy.","6","intermediate"
"dictionary_ai","f283354c-19aa-4133-96a9-a526d4c14e59","Adaniloro","noun","a tormentor, one who afflicts.","9","advanced"
"dictionary_ai","23c10288-6946-4470-8ded-6fcd98b5bc33","Adaraya","noun","a lively person.","7","advanced"
"dictionary_ai","83817438-58df-4f79-8566-25f5550d4e96","Àdásan","noun","instalment; an old debt incurred by some relative.","6","intermediate"
"dictionary_ai","76012bd4-d24c-4890-b018-c80e1780cbcd","Adehun","noun","agreement, bargain, treaty, stipulation.","6","intermediate"
"dictionary_ai","ec1a75be-69f6-4226-b75e-f330576d85e8","Adena","noun","one who watches on the road, a sentinel, sentry; hinderer, impediment, way-layer.","5","intermediate"
"dictionary_ai","e23ae4f3-ee7a-4ac4-a3d0-c904c638812b","Adẹpa","noun","an appropriate salutation to one going out hunting.","5","intermediate"
"dictionary_ai","fa323cd3-d965-44fe-a296-9cfc9a4f22da","Adẹ́tisilẹ","noun","a listener, an eavesdropper.","10","advanced"
"dictionary_ai","e3e89e3b-0c59-4438-be05-3136cbd06611","Adídùn","noun","sweet-meats, confectionery, prepared parched corn for warriors.","6","intermediate"
"dictionary_ai","23de7442-6e96-4fc4-be49-718a9fcd92a6","Adímú","noun","a kind of masquerade in Lagos during the obsequies of a great man; the Chief of Adamọriṣa, of ugly appearance, who must never be laughed at.","5","intermediate"
"dictionary_ai","ac5cd35e-5d6e-4756-ba5c-4a00903a1753","Adógunsílè","noun","one who creates war, disturbance or revolution.","10","advanced"
"dictionary_ai","a87fcf3a-779e-4774-afb8-a3cbb403ad7a","Adú","noun","one who is very black, jet black.","3","easy"
"dictionary_ai","864755a9-a963-402e-8e25-0e39dac48887","Àdúrà","noun","prayer, supplication, entreaty, petition.","5","intermediate"
"dictionary_ai","9bb5a9f2-2935-4911-91b1-d7c541750e64","Afagbaragbà","noun","usurper; wrestler; extortioner.","11","advanced"
"dictionary_ai","8d655f49-a943-48d7-93e3-54134101e5af","Afárá","noun","two sticks rubbed together, from which fire is produced by friction.","5","intermediate"
"dictionary_ai","827ff26e-7250-491e-92d0-e076a353b4cc","Àfẹ̀imòjò","noun","an animal of the rat tribe, the tail of which is used by the King of Yoruba as a sign of royalty; he generally holds the tail against his mouth when he walks abroad.","9","advanced"
"dictionary_ai","322c9975-55b0-43b1-ac44-afbca2b5bbfb","Afẹtigbègiri","noun","an eavesdropper.","12","advanced"
"dictionary_ai","fbf5559f-dd7a-480b-b28f-3c3bdb4c0fa8","Afẹfẹ ojiji","noun","a sudden gust of wind.","11","advanced"
"dictionary_ai","1f2adc4e-853e-4a8b-966b-4489b538ee95","Afẹ́reresíni","noun","a well-wisher.","12","advanced"
"dictionary_ai","d024c864-88eb-4f27-85f8-248860ab796f","Afi or Afibi","conjunction","unless, except.","12","advanced"
"dictionary_ai","441ee90f-88c6-4ac7-a20a-901b27cfca5c","Afinú-ṣe-ajere","noun","an unfaithful, treacherous person.","14","advanced"
"dictionary_ai","e72788cd-2124-488f-aade-2739367d1f4e","Afojudi","noun, adjective","insolence, obstinacy, petulance, audacity, effrontery, hardihood, loftiness. saucy.","7","advanced"
"dictionary_ai","5da9b1f1-671f-45dd-83b5-7fa747479359","Afọranlọ","noun","one who consults another or seeks advice.","8","advanced"
"dictionary_ai","61247df8-6540-4132-8eb4-f1a36c9d3a7e","Afunniniṣẹ","noun","an employer.","10","advanced"
"dictionary_ai","80ef2503-9cf5-4b81-a6d7-b9ecfd84eb94","Agada","noun","a short sword, scimitar.","5","intermediate"
"dictionary_ai","dc115a6f-a32c-4069-8532-3a4d0dfdf372","Aga-iwãsu","noun","a pulpit.","9","advanced"
"dictionary_ai","927d1d04-f605-4904-ad4d-4008f79c3181","Aganni","noun","backbiter, contemner, despiser.","6","intermediate"
"dictionary_ai","17eb1609-fd58-414c-9a56-bb926876571f","Àgàṣù","adjective","copious, bulky, huge.","5","intermediate"
"dictionary_ai","5c694fd0-ccd0-4fe3-a223-ec8c6305d29d","Agbada","noun","a coverless earthen-ware vessel used for cooking and washing; trough; font.","6","intermediate"
"dictionary_ai","9f242cb4-cc2f-49d9-aba6-4c024c247bb5","Agbajọ","noun","congregation, assembly, mass, crowd.","6","intermediate"
"dictionary_ai","3b3d9550-0e8d-44a1-b4fb-025a892be578","Àgbálù","noun","see Agbako.","6","intermediate"
"dictionary_ai","5c4f244f-f005-4a87-a050-3770a7cff622","Àgbàpè","noun","reverberation, a re-echoing sound; one who repeats a call.","6","intermediate"
"dictionary_ai","cb907b48-787f-4bab-a833-ebd7fb8ee2d2","Agbãrin","noun","a hard fruit, not edible, used by children playing (as the marble is used).","7","advanced"
"dictionary_ai","fc55d031-eb62-4454-8d88-299d9c493c06","Agbatan","noun","entire help, complete assistance or deliverance.","7","advanced"
"dictionary_ai","03d02217-10c1-422f-91e2-766456e03cbd","Agbe","noun","a kind of woodcock; alms.","4","easy"
"dictionary_ai","0370257e-ff6d-4247-8c6d-e14d6528881b","Àgbègbè","noun","neighbourhood, vicinity, region, coast.","7","advanced"
"dictionary_ai","4c6f20b5-6ccf-4636-ac83-f6dcec061630","Àgbélẹ̀gbundà","noun","a half-educated person; that which is not straight.","13","advanced"
"dictionary_ai","9800c4af-0218-408c-b85d-8a3b1de52537","Agbero","noun","a charm used by a wrestler to keep him in an upright position and to prevent him being thrown.","6","intermediate"
"dictionary_ai","513325f6-188e-4af6-a7cb-7febf1a870d9","Agbẹjẹ","noun","an early pumpkin, much eaten before other vegetables are in season; when overripe it becomes bitter.","6","intermediate"
"dictionary_ai","f71c632d-c3fb-45c2-863d-2e59f41ad715","Fi-ẹ̀bẹ̀-rọ̀","v.","to beseech; entreat; urge.","12","advanced"
"dictionary_ai","7698b9a4-9029-450b-9fef-692754b1541a","Fẹsẹ̀tẹle","v.","to follow in the footsteps of another; to copy another's way or method.","9","advanced"
"dictionary_ai","8c8da935-4516-47d7-a786-73c6d72e8df8","Àgérè","noun","a stilt-dancer; a very tall man.","5","intermediate"
"dictionary_ai","c9a82e94-363d-40c5-a43a-c849e73bf116","Agẹmọ","noun","the chameleon; an idol, during the worship of which the men only are allowed to remain standing, while the women kneel with their heads bowed.","5","intermediate"
"dictionary_ai","1da15621-04c6-41c5-aa8b-93c654b79a3e","Àguàlà","noun","the planet Venus; a dogstar; Sirius.","6","intermediate"
"dictionary_ai","35c067cc-0114-4783-bee1-3c34164460ed","Ahan ẹkun","noun","a hairy plant, to touch which causes severe itching, so called from its likeness to a leopard's tongue; a plant, very full of sap, much used by hunters when thirsty.","9","advanced"
"dictionary_ai","6e74aacc-6a37-47ee-ae9d-49dc3708c2ed","Ahọn-ina","noun","a flame of fire.","8","advanced"
"dictionary_ai","f07f5ef0-21c4-4f7b-a31f-f56350b0bd01","Ahùnmọ̀","noun","inventor, contriver, framer.","7","advanced"
"dictionary_ai","854558c2-4080-499d-af98-b184a67f6c1f","Ai","","a negative particle used as the prefix un or in in English.","2","easy"
"dictionary_ai","94aca767-4f18-4949-bc7b-ad2b6bf1d46e","Aibora","noun","naked, uncovering the body.","6","intermediate"
"dictionary_ai","96d9c465-6416-46e4-91e4-aeb32f16251d","Àibùwò","adjective","unnoticed; spiteful; contemptuous.","6","intermediate"
"dictionary_ai","67072e99-791b-404f-819f-3fb8ca72704d","Aidakẹ","adjective","unceasing; not intermittent.","6","intermediate"
"dictionary_ai","b14c71cd-5fe4-4319-93ad-1dd0b8f60723","Aidaṣe","noun, adjective","that which is not done alone. also.","6","intermediate"
"dictionary_ai","4605c7df-e9a4-4ee4-b618-93042f44230f","Àidélé","adjective, noun","not arriving home. non-arrival.","6","intermediate"
"dictionary_ai","f3a0e74e-828f-4739-8948-4d4ebcec303c","Aidẹṣẹ̀","noun, adjective","innocency. sinless; innocent.","7","advanced"
"dictionary_ai","8a6d8fc8-d315-4732-977a-b9678149822b","Aidira","adj.","unarmed; not equipped","6","intermediate"
"dictionary_ai","f5ef66f2-dc9d-444c-8752-35662603fd38","Aìdùn","n. adj.","inelegance; coarseness. unsavoury, insipid","5","intermediate"
"dictionary_ai","6a6f3076-405a-43d4-92b6-97de50eba531","Alawo","n.","a conjurer of spirits, a heathen priest; also called Ọlọsanyin.","5","intermediate"
"dictionary_ai","7fea9016-9de2-4ce1-8a44-eea654d95dae","Alaya meji","n.","a man with two wives.","10","advanced"
"dictionary_ai","b65b6a7d-88df-454b-ac9b-77c6970015cd","Alãyan","n.","one who takes pains, a persevering or persistent one.","6","intermediate"
"dictionary_ai","cd5203d3-c36d-4edd-b3a7-11ec26c1717f","Ãlè","n.","leprosy; a talisman put on goods exposed for sale, fruitful trees, etc., to prevent them from being tampered with. It is believed that the talisman will cause misfortune to befall anyone who steals goods thus marked.","3","easy"
"dictionary_ai","dcbec866-8d2a-4a55-b50a-a4c0b027985f","Alóhùnsí, Alóhùnsọ́rọ̀","n.","a voter; one having a voice in a matter.","22","advanced"
"dictionary_ai","a389c19e-539b-4f56-8604-d797ea7db7f7","Àlọ̀","n.","a kind of yam; also called Àgandan.","4","easy"
"dictionary_ai","af88e8ab-b0f1-4282-8d6c-3e13a6e1e897","Ãlọ̀","n.","a warning.","4","easy"
"dictionary_ai","d9a7d8c2-f716-4699-8631-7cdce9c5dd5b","Fífàta","adj.","tightly drawn.","6","intermediate"
"dictionary_ai","4c29d18d-ff49-48bd-ae13-ccae152a3b75","Fihá","v.","to hook on; to hang on a pin or between a forked stick; to buckle.","4","easy"
"dictionary_ai","a752f31e-84a5-499a-8484-860add9316f1","Fifẹ́ra, Fífẹ́rarẹ̀","n.","self-love; selfishness.","19","advanced"
"dictionary_ai","422eaa57-98e3-4f9a-b38b-043b53269b19","Fífọhùn","n.","mode of speaking; utterance; pronunciation.","7","advanced"
"dictionary_ai","cf04d194-352b-442e-9d5f-caa71226aa9f","Fi-iyànlélẹ̀","v.","to wager.","12","advanced"
"dictionary_ai","fcb54c4b-0b02-40e5-8f15-9e6db57a5339","Fikun","v.","to add to; augment; append; subjoin; supplement.","5","intermediate"
"dictionary_ai","5baf41ed-4a39-4bd5-b4da-4c2b2b2908d3","Fìna","n.","a thin piece of leather cut lengthwise; leathern tassels.","4","easy"
"dictionary_ai","c7fcac65-adb1-4ad3-b639-1250f057f077","Fisan","v.","to estimate; value.","5","intermediate"
"dictionary_ai","901a9a0a-7893-4b31-94fa-01a4c22ebf35","Fisõfò","v.","to leave open, expose; to disregard; slight.","6","intermediate"
"dictionary_ai","e58ff2b9-ba0e-4fe4-8a67-2967e9c26df1","Fi-ọ̀nàhàn","v.","to guide; lead; direct; elucidate.","10","advanced"
"dictionary_ai","74c98ab8-4f83-4a95-b0f8-8ec8a06b3214","Fipẹ̀lú","v.","to adjoin; annex; add to; include.","7","advanced"
"dictionary_ai","cfd07414-7fdb-4971-af4b-0d79fbc6c23c","Fiyèdénú","v.","to be patient under vexations or grievances.","8","advanced"
"dictionary_ai","69c66124-e2bb-4cbf-9390-33354f9d1f5d","Fò","v.","to fly; jump; skip; leap; beat; throb; pass over or break (as clouds); pass by; neglect; evaporate.—e.g., Ojo ná fò, “ The rain is passing over.”","2","easy"
"dictionary_ai","e0cc0c9c-e53a-44df-8a9f-4da8297802e6","Fọwọ́bà, Fọwọ́kàn","v.","to touch; feel with the hand.","17","advanced"
"dictionary_ai","6ce7ef49-98c2-49c7-b532-fb6c49b11a0b","Fónífóní","n.","decency; neatness.","8","advanced"
"dictionary_ai","9ce88bde-b033-40f8-988c-7a6203e63e89","Fúlọ́","adj.","feverish; slightly indisposed.","5","intermediate"
"dictionary_ai","1eaefd39-6245-4ea1-9b64-e5b79d837c4b","Funlapẹ̃rẹ","v.","to shape; give form to.","10","advanced"
"dictionary_ai","ff0d441e-8f03-4bd4-ad89-951d8c8ecff1","Gàngan","n. or adj.","small portion; (applied to soup, etc.)—e.g., Bu omitọrọ gángan si i fun mi, “ Give me a little more soup.”","6","intermediate"
"dictionary_ai","df5a487e-d59a-4dad-8fdc-367424cc444a","Funniniṣẹ","v.","to engage; employ; supply with work.","9","advanced"
"dictionary_ai","a34bee34-a569-4c8f-af8c-b720b649c5ed","Fúrá","n.","a cool beverage made from Indian corn or rice mixed with honey.","4","easy"
"dictionary_ai","307b3e4e-92f3-4483-af58-1d8372aa0f5b","Gíngin","n.","a small particle; the tiniest bit.","6","intermediate"
"dictionary_ai","a888f78b-c4a6-4eda-bf86-f24c0545dd4d","Gọgọwu","n.","a large country cloth; a sheet for covering.","6","intermediate"
"dictionary_ai","e0bab1f5-acbc-4d8f-b7bd-581017901254","Gbá","v.","to sweep; cleanse; slap; strike with a stick or something flat; drift.","3","easy"
"dictionary_ai","c9ed63bd-1f57-4e51-b7b6-1338f038be62","Gbako","adv.","exactly; fitly; suitably; precisely.—e.g.,Mo gbe ibẹ li ọdun kan gbako, “ I remained there exactly one year.”","5","intermediate"
